profile,basis,b_angstrom,temperature,removal_steps,radius,intact,removed,mismatched_return,correct_return,causal_margin,causal_pass,mismatch_overlap
6-31g_b0.7,6-31g,0.7,0.002,40,0.15,0.80125,0.173125,0.0075,0.79125,0.618125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.25,0.93625,0.29312499999999997,0.095,0.9425,0.6431250000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.35,0.978125,0.395,0.37812500000000004,0.984375,0.583125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.45,0.993125,0.494375,0.648125,0.996875,0.3450000000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.002,40,0.55,0.99875,0.59125,0.7575,1.0,0.24125000000000008,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,10,0.15,0.598125,0.173125,0.031249999999999997,0.6212500000000001,0.42500000000000004,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,10,0.25,0.8168749999999999,0.29312499999999997,0.16875,0.8306249999999998,0.5237499999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,10,0.35,0.9168749999999999,0.395,0.395625,0.921875,0.5212499999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,10,0.45,0.96125,0.494375,0.6425000000000001,0.964375,0.31875,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,10,0.55,0.98125,0.59125,0.8231249999999999,0.983125,0.15812500000000007,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,20,0.15,0.598125,0.173125,0.025625000000000002,0.6437499999999999,0.42500000000000004,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,20,0.25,0.8168749999999999,0.29312499999999997,0.15375,0.840625,0.5237499999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,20,0.35,0.9168749999999999,0.395,0.35375,0.92125,0.5218749999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,20,0.45,0.96125,0.494375,0.564375,0.96375,0.3968750000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,20,0.55,0.98125,0.59125,0.7193750000000001,0.979375,0.2599999999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,40,0.15,0.598125,0.173125,0.04125,0.6200000000000001,0.42500000000000004,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,40,0.25,0.8168749999999999,0.29312499999999997,0.16812500000000002,0.8299999999999998,0.5237499999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,40,0.35,0.9168749999999999,0.395,0.365,0.9256249999999999,0.5218749999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,40,0.45,0.96125,0.494375,0.55125,0.9681249999999999,0.41000000000000003,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.004,40,0.55,0.98125,0.59125,0.6799999999999999,0.984375,0.30125,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,10,0.15,0.5062500000000001,0.173125,0.07625,0.505,0.33187500000000003,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,10,0.25,0.706875,0.29312499999999997,0.21875,0.7281249999999999,0.41375000000000006,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,10,0.35,0.823125,0.395,0.40375,0.838125,0.419375,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,10,0.45,0.885,0.494375,0.5856250000000001,0.8899999999999999,0.29937499999999995,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,10,0.55,0.931875,0.59125,0.735625,0.9299999999999999,0.19437499999999996,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,20,0.15,0.5062500000000001,0.173125,0.079375,0.48187500000000005,0.3087500000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,20,0.25,0.706875,0.29312499999999997,0.216875,0.6912499999999999,0.39812499999999995,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,20,0.35,0.823125,0.395,0.376875,0.8118749999999999,0.4168749999999999,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,20,0.45,0.885,0.494375,0.53,0.8725,0.3425,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,20,0.55,0.931875,0.59125,0.6581250000000001,0.915625,0.25749999999999995,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,40,0.15,0.5062500000000001,0.173125,0.07625,0.5006250000000001,0.3275000000000001,True,0.06706788535163427
6-31g_b0.7,6-31g,0.7,0.008,40,0.25,0.706875,0.29312499999999997,0.19999999999999998,0.7024999999999999,0.40937499999999993,True,0.06706788535163427
