pair_index,family,H1_seed_passes,H1_pass,H2_seed_passes,H2_pass,H3_seed_passes,H3_pass,H4_seed_passes,H4_pass,role_recurrent_seed_passes,role_recurrent_pass
240,1,12,True,12,True,12,True,12,True,12,True
241,1,12,True,12,True,12,True,12,True,12,True
242,1,12,True,12,True,12,True,12,True,12,True
243,1,12,True,12,True,12,True,12,True,12,True
244,1,12,True,12,True,12,True,12,True,12,True
245,1,12,True,12,True,12,True,12,True,12,True
246,1,12,True,12,True,12,True,12,True,12,True
247,1,12,True,12,True,12,True,12,True,12,True
248,1,12,True,12,True,12,True,12,True,12,True
249,1,12,True,12,True,12,True,12,True,12,True
250,1,12,True,12,True,12,True,12,True,12,True
251,1,12,True,12,True,12,True,12,True,12,True
252,1,12,True,12,True,12,True,12,True,12,True
253,1,12,True,12,True,12,True,12,True,12,True
254,1,12,True,12,True,12,True,12,True,12,True
255,1,12,True,12,True,12,True,12,True,12,True
