pair_index,family,history,seed,donor_pair_index,candidate_carrier_all_flip,candidate_self_all_flip,candidate_action_all_flip,candidate_action_early_only,candidate_action_prior_only,candidate_action_last_only,candidate_common_mode,symmetric_action_all_flip,symmetric_action_early_only,symmetric_action_prior_only,symmetric_common_mode,memoryless_action_all_flip,memoryless_action_early_only,memoryless_action_prior_only,role_recurrent_action_all_flip,role_recurrent_action_early_only,role_recurrent_action_prior_only,self_erased_action_all_flip,self_erasure_carrier_preservation,same_family_return_A,same_family_return_B
128,0,ABAB,20261101,129,0.18169758809392028,0.18586031924635965,0.1839293612460742,0.054647056438111755,0.13952949299579848,0.07843843229798068,0.010288124547374745,0.0,0.0,0.0,0.013959749074379964,0.08076476894738045,0.0,0.0,0.1838681649760443,0.05451275243660178,0.13935805788422193,0.0,0.0,0.25090763347847844,0.21230663762433397
129,0,ABAB,20261101,130,0.13512604822525678,0.1105866147663792,0.10961639537637888,0.0586779205665356,0.08914611023218715,0.08236929390400519,0.011508886818412972,0.0,0.0,0.0,0.0163729900944369,0.08548987865695594,0.0,0.0,0.10958089656129855,0.058661515788249165,0.08920985062078525,0.0,0.0,0.2618539355965196,0.1809112691186777
130,0,ABAB,20261101,131,0.17435978021966977,0.13954714155956613,0.13794527661743347,0.04583840024286471,0.11570506322437937,0.08147609472081949,0.011332554947569795,0.0,0.0,0.0,0.016436210708476517,0.08312075171591145,0.0,0.0,0.13814478095130114,0.04558510715928679,0.11578285649267694,0.0,0.0,0.31833753623562805,0.26583537602550594
131,0,ABAB,20261101,132,0.14044077411152997,0.13744388620097794,0.1365598345391249,0.04294541124035565,0.11790659839066242,0.08321937454878979,0.011076732583665776,0.0,0.0,0.0,0.01601479811068244,0.08470372949525633,0.0,0.0,0.13673651508008916,0.0431517934970695,0.11809352011173502,0.0,0.0,0.2865960878220494,0.23625875229073023
132,0,ABAB,20261101,133,0.15947035368269202,0.16366515137657514,0.16217564702483325,0.04776290044891466,0.13509675501225518,0.07197132243347214,0.0110976387672673,0.0,0.0,0.0,0.01596028625576892,0.07402273485695277,0.0,0.0,0.16213253543617198,0.04765261001396497,0.13509560057388786,0.0,0.0,0.24757339050266672,0.19248580438693194
133,0,ABAB,20261101,134,0.16694294526189657,0.16313566336195456,0.16141526743329734,0.07025008218218853,0.13414573553492556,0.0719340558082585,0.010988482096973715,0.0,0.0,0.0,0.015177725306334006,0.07281238506302773,0.0,0.0,0.16158514308405283,0.07076151585657732,0.13433880886849395,0.0,0.0,0.23476926741387305,0.23838035324745238
134,0,ABAB,20261101,135,0.15187837884110783,0.11359155989646792,0.11287333018028926,0.040784252404951746,0.08960243775222153,0.07578469125382165,0.011167561290325739,0.0,0.0,0.0,0.015829723776231475,0.07773354175328119,0.0,0.0,0.11274979973570734,0.040852590496334204,0.08959705745514064,0.0,0.0,0.25707823762603027,0.24604766148044183
135,0,ABAB,20261101,136,0.11662641318216733,0.13336400803756437,0.13181705473087038,0.05616960702026406,0.09858064381855951,0.07957288752964253,0.011062584262354493,0.0,0.0,0.0,0.015584821515784655,0.08180157386467414,0.0,0.0,0.13212757809071488,0.05633149793143454,0.09885288840652066,0.0,0.0,0.3014878895311363,0.23077878331977753
136,0,ABAB,20261101,137,0.14196245268943147,0.14848572545149513,0.14643282427059928,0.027225074871877256,0.11905508936431727,0.06866494652182002,0.012073141602097917,0.0,0.0,0.0,0.01684608417116089,0.06956479911923243,0.0,0.0,0.14693871332827216,0.02730966763917571,0.11931078027397167,0.0,0.0,0.23689543211211445,0.2150003597995042
137,0,ABAB,20261101,138,0.11982481300611281,0.12876356912268339,0.12816971741245328,0.04759439463188181,0.10648078154402041,0.07948734664579434,0.011731634608921177,0.0,0.0,0.0,0.017033615281893705,0.08028953166753754,0.0,0.0,0.12828430612195849,0.0477414365732938,0.10676097201977387,0.0,0.0,0.25589617793736463,0.24371729579646048
