basis,mode,a_angstrom,b_angstrom,energy_hartree
sto-3g,full,0.7,0.7,-1.2873755897243484
sto-3g,one_electron_cross_deleted,0.7,0.7,0.2670256521912626
sto-3g,without_edge_01,0.7,0.7,-1.2242414176095746
sto-3g,full,0.7,0.7999999999999999,-1.4373085192680568
sto-3g,one_electron_cross_deleted,0.7,0.7999999999999999,0.029858136587970208
sto-3g,without_edge_01,0.7,0.7999999999999999,-1.2739795619257155
sto-3g,full,0.7,0.8999999999999999,-1.537562111128926
sto-3g,one_electron_cross_deleted,0.7,0.8999999999999999,-0.13918769084806026
sto-3g,without_edge_01,0.7,0.8999999999999999,-1.2957005652826261
sto-3g,full,0.7,0.9999999999999999,-1.604314676943896
sto-3g,one_electron_cross_deleted,0.7,0.9999999999999999,-0.26123760577437327
sto-3g,without_edge_01,0.7,0.9999999999999999,-1.3018659323313715
sto-3g,full,0.7,1.0999999999999999,-1.6481039485827638
sto-3g,one_electron_cross_deleted,0.7,1.0999999999999999,-0.35020332964147594
sto-3g,without_edge_01,0.7,1.0999999999999999,-1.299679516706608
sto-3g,full,0.7,1.1999999999999997,-1.6759711188280146
sto-3g,one_electron_cross_deleted,0.7,1.1999999999999997,-0.4152549930269531
sto-3g,without_edge_01,0.7,1.1999999999999997,-1.2934926762410281
sto-3g,full,0.7,1.2999999999999998,-1.6927676884688379
sto-3g,one_electron_cross_deleted,0.7,1.2999999999999998,-0.46269312463034096
sto-3g,without_edge_01,0.7,1.2999999999999998,-1.2859531448886945
sto-3g,full,0.7,1.4,-1.7019186259091286
sto-3g,one_electron_cross_deleted,0.7,1.4,-0.49708451707402324
sto-3g,without_edge_01,0.7,1.4,-1.2785614086056474
sto-3g,full,0.7,1.4999999999999998,-1.7058688203561831
sto-3g,one_electron_cross_deleted,0.7,1.4999999999999998,-0.5218522112458817
sto-3g,without_edge_01,0.7,1.4999999999999998,-1.27203724890729
sto-3g,full,0.7,1.5999999999999996,-1.7063646192403477
sto-3g,one_electron_cross_deleted,0.7,1.5999999999999996,-0.5398007627801977
sto-3g,without_edge_01,0.7,1.5999999999999996,-1.2666153466067485
sto-3g,full,0.7,1.6999999999999997,-1.7046480099027428
sto-3g,one_electron_cross_deleted,0.7,1.6999999999999997,-0.5541110528335578
sto-3g,without_edge_01,0.7,1.6999999999999997,-1.262268862238923
sto-3g,full,0.7,1.7999999999999998,-1.701596552331663
sto-3g,one_electron_cross_deleted,0.7,1.7999999999999998,-0.5644128944051876
sto-3g,without_edge_01,0.7,1.7999999999999998,-1.2588555070171918
sto-3g,full,0.7,1.8999999999999997,-1.6978243227384975
sto-3g,one_electron_cross_deleted,0.7,1.8999999999999997,-0.5717513810371968
sto-3g,without_edge_01,0.7,1.8999999999999997,-1.2562002614572596
sto-3g,full,0.7,1.9999999999999996,-1.6937539965345243
sto-3g,one_electron_cross_deleted,0.7,1.9999999999999996,-0.5769378505253595
sto-3g,without_edge_01,0.7,1.9999999999999996,-1.2541361962916766
sto-3g,full,0.7,2.0999999999999996,-1.689668438931438
sto-3g,one_electron_cross_deleted,0.7,2.0999999999999996,-0.5805666121611854
sto-3g,without_edge_01,0.7,2.0999999999999996,-1.2525212324928905
sto-3g,full,0.7,2.1999999999999997,-1.6857484142409338
