condition,seed,damage_amplitude,alive,death_time,divisions,boundary_recovery,metabolic_recovery,information_repair_recovery
native,2026091900,0.6,True,,1,0.9987961890335373,0.9996055729998945,1.0003830744187245
native,2026091901,0.6,True,,1,1.0004960304856618,0.9999411966621636,0.9972565441316081
native,2026091902,0.6,True,,1,0.9996271344174706,1.0003091338826569,0.9973394275513491
native,2026091903,0.6,True,,1,0.9998513037646614,0.9999322544862773,0.9957299543233765
native,2026091904,0.6,True,,1,0.9989377471061299,0.99965800134499,1.0008282961755521
native,2026091905,0.6,True,,1,0.9988872321343824,0.999547290795461,0.9960298225861784
native,2026091906,0.6,True,,1,1.000086579407261,1.0000235880830777,0.9982370365446178
native,2026091907,0.6,True,,1,0.9995991793754948,1.000011348038861,0.9976895013142875
native,2026091908,0.6,True,,1,1.000410108066293,0.9999134068120478,1.0007991791217832
native,2026091909,0.6,True,,1,0.9989865714199506,0.999782974942971,0.9987006238249658
native,2026091910,0.6,True,,1,1.0006936506327038,1.0003643700068023,0.9985571065437225
native,2026091911,0.6,True,,1,0.9996284162334327,0.9992872267882266,0.99839320427369
native,2026091912,0.6,True,,1,1.0009322510524437,1.0004861040605098,0.9991655067006233
native,2026091913,0.6,True,,1,0.9989306369765931,0.9995908519414616,0.9995919978695363
native,2026091914,0.6,True,,1,1.001095766266908,1.000961833268543,0.9980648552869377
native,2026091915,0.6,True,,1,0.9991501995756941,0.9996788602854861,0.9958087718931827
native,2026091916,0.6,True,,1,1.000824320198929,0.9998495316568266,0.9951273752886196
native,2026091917,0.6,True,,1,1.0000053786320362,1.0002482470377076,0.9970779997716577
native,2026091918,0.6,True,,1,1.0001049919729512,0.9997402785874882,1.0005147026520012
native,2026091919,0.6,True,,1,1.000657769132959,1.0001682917560923,0.9950805030989607
native,2026091920,0.6,True,,1,0.9991967268541655,0.9997503229149843,0.9967841103794683
native,2026091921,0.6,True,,1,1.0006261215518168,1.0000565691063523,0.9994094796294175
native,2026091922,0.6,True,,1,0.999101213033646,0.9994909389094335,0.9977649031978381
native,2026091923,0.6,True,,1,0.9997477274476166,0.9997852328158177,1.0001814963941957
native,2026091924,0.6,True,,1,1.0004355342398072,0.9999482155856435,1.0022235662669752
native,2026091925,0.6,True,,1,1.0004902105638025,1.0004168682201764,1.0015066153837162
native,2026091926,0.6,True,,1,0.999158308398248,0.999685875606956,1.0021633464520041
native,2026091927,0.6,True,,1,0.9994152662088882,0.9997192171207872,0.9987194156035851
native,2026091928,0.6,True,,1,0.9996016300353725,0.9996012287284923,0.9986955737986575
native,2026091929,0.6,True,,1,0.9987139234545891,0.9994664639469285,0.9988046275014489
native,2026091930,0.6,True,,1,0.9996465293590491,1.0003299847203675,0.9926489979252617
native,2026091931,0.6,True,,1,1.000157366045091,0.9994784536538434,0.9969265392064297
joint_erased,2026091900,0.6,False,54.26,0,0.3443334065303012,0.16788187232434307,0.48606522962429216
joint_erased,2026091901,0.6,False,54.300000000000004,0,0.34344559016261766,0.1683896572005768,0.4888282629620896
joint_erased,2026091902,0.6,False,54.08,0,0.3504082650829646,0.16722801922672442,0.49359357608441073
