training_seed,left_architecture,right_architecture,involves_new_architecture,relation_context_cka,random_context_cka_median,context_cka_specificity
1000,distributed,central_shared,False,0.7245373935647881,0.0367418881603094,0.6877955054044786
1000,distributed,directional_relay,False,0.7011773322348266,0.028501361116695087,0.6726759711181315
1000,distributed,four_channel_crossbar,True,0.41421331639864084,0.03754030971288706,0.37667300668575376
1000,central_shared,directional_relay,False,0.744022600178755,0.027302520869587878,0.7167200793091671
1000,central_shared,four_channel_crossbar,True,0.43165505022417694,0.039598618870345284,0.39205643135383167
1000,directional_relay,four_channel_crossbar,True,0.585820317915005,0.020201280001439934,0.565619037913565
1001,distributed,central_shared,False,0.5326930796585775,0.06763381194616566,0.4650592677124118
1001,distributed,directional_relay,False,0.5003601604416427,0.0485393242113183,0.4518208362303244
1001,distributed,four_channel_crossbar,True,0.549953506415698,0.06616278574198642,0.48379072067371154
1001,central_shared,directional_relay,False,0.8616712212917541,0.05546546474252333,0.8062057565492308
1001,central_shared,four_channel_crossbar,True,0.916140134645684,0.07416508588510788,0.8419750487605762
1001,directional_relay,four_channel_crossbar,True,0.817095061134318,0.057425766045879026,0.759669295088439
1002,distributed,central_shared,False,0.6588271142680188,0.08074537141410221,0.5780817428539166
1002,distributed,directional_relay,False,0.7105370801322609,0.07226460000022561,0.6382724801320353
1002,distributed,four_channel_crossbar,True,0.8603363925170563,0.06409535519200632,0.7962410373250499
1002,central_shared,directional_relay,False,0.8008741505614212,0.0846066981743486,0.7162674523870726
1002,central_shared,four_channel_crossbar,True,0.671471218660019,0.08850496065200392,0.582966258008015
1002,directional_relay,four_channel_crossbar,True,0.6468284537317676,0.05353805143067117,0.5932904023010964
1003,distributed,central_shared,False,0.6148136632814851,0.07066630785160155,0.5441473554298836
1003,distributed,directional_relay,False,0.6945204447713529,0.09207761446048576,0.6024428303108671
1003,distributed,four_channel_crossbar,True,0.617036966306772,0.05530239646862218,0.5617345698381497
1003,central_shared,directional_relay,False,0.5967107043174206,0.06642522861091975,0.5302854757065009
1003,central_shared,four_channel_crossbar,True,0.18002334745880597,0.041260550250628344,0.13876279720817764
1003,directional_relay,four_channel_crossbar,True,0.6406572185512918,0.0446503386157379,0.5960068799355539
1004,distributed,central_shared,False,0.7859810871983864,0.047155550115577136,0.7388255370828093
1004,distributed,directional_relay,False,0.6599004352097824,0.03967967350704451,0.6202207617027379
1004,distributed,four_channel_crossbar,True,0.5998806230109635,0.04852862532277548,0.551351997688188
1004,central_shared,directional_relay,False,0.855564446663556,0.06080416380303379,0.7947602828605222
1004,central_shared,four_channel_crossbar,True,0.7512615027023981,0.06166375383803855,0.6895977488643595
1004,directional_relay,four_channel_crossbar,True,0.6757719769777114,0.055922876035104443,0.6198491009426069
1005,distributed,central_shared,False,0.7342079099400917,0.04899393930876268,0.6852139706313289
1005,distributed,directional_relay,False,0.23102571185968787,0.025854880653479816,0.20517083120620805
1005,distributed,four_channel_crossbar,True,0.20356995598063662,0.031046345211010674,0.17252361076962594
1005,central_shared,directional_relay,False,0.29949726441628294,0.031807228361178115,0.26769003605510483
1005,central_shared,four_channel_crossbar,True,0.3252762913588074,0.027187635410548007,0.2980886559482594
1005,directional_relay,four_channel_crossbar,True,0.0986335750412798,0.028468628969796163,0.07016494607148363
1006,distributed,central_shared,False,0.7502020440159348,0.04564421520042078,0.7045578288155141
1006,distributed,directional_relay,False,0.6828263243866107,0.05644210836143909,0.6263842160251716
1006,distributed,four_channel_crossbar,True,0.602880767372336,0.04625106831750468,0.5566296990548313
1006,central_shared,directional_relay,False,0.6233019731522742,0.06068406952122619,0.562617903631048
