training_seed,architecture,task_competent,heldout_both_correct,component_norm,normal_cross_entropy,normal_both_correct,delete_cross_entropy_increase,random_delete_cross_entropy_increase_median,delete_selectivity,delete_empirical_percentile,delete_empirical_p,bilateral_response_minimum
1000,independent,False,0.128173828125,0.0,1.0988321396093892,0.128173828125,0.0,0.0,0.0,0.0,1.0,0.0
1000,distributed,True,1.0,0.2890479167803127,6.173001221886966e-07,1.0,0.8496652390128334,0.08582364514519972,0.7638415938676337,1.0,0.015384615384615385,0.99951171875
1000,central_shared,True,1.0,0.2860310864390616,6.10971665314768e-06,1.0,0.407248045893613,0.08456889864234152,0.3226791472512715,1.0,0.015384615384615385,0.996826171875
1000,directional_relay,True,1.0,0.2458302368661174,5.3472549489643124e-05,1.0,1.4005152013133508,0.03741776647085515,1.3630974348424956,1.0,0.015384615384615385,1.0
1000,four_channel_crossbar,True,1.0,0.28339931489608056,4.6931757555067445e-08,1.0,0.34014704170053667,0.128235703518485,0.21191133818205166,1.0,0.015384615384615385,0.970703125
1001,independent,False,0.112060546875,0.0,1.0986841256768953,0.112060546875,0.0,0.0,0.0,0.0,1.0,0.0
1001,distributed,True,1.0,0.333579440387169,8.885643775535449e-07,1.0,0.902533982979329,0.18763149741114904,0.7149024855681799,1.0,0.015384615384615385,0.99951171875
1001,central_shared,True,1.0,0.37437999626521584,1.322408599428081e-06,1.0,3.988301896780552,0.3743770264763773,3.6139248703041744,1.0,0.015384615384615385,0.981689453125
1001,directional_relay,True,1.0,0.28606816064467555,4.4440418962545e-06,1.0,3.001960754991903,0.1710502706515099,2.8309104843403934,1.0,0.015384615384615385,0.99951171875
1001,four_channel_crossbar,True,1.0,0.3760742683925136,6.098950561854344e-06,1.0,1.4410296084136616,0.2767904739979704,1.1642391344156913,1.0,0.015384615384615385,1.0
1002,independent,False,0.110107421875,0.0,1.0988585237946507,0.110107421875,0.0,0.0,0.0,0.0,1.0,0.0
1002,distributed,True,1.0,0.3668295747607815,4.6239176666213684e-05,1.0,0.666008057907921,0.21549083859838697,0.450517219309534,1.0,0.015384615384615385,0.99755859375
1002,central_shared,True,1.0,0.4124494298146065,3.487588706649059e-06,1.0,2.5350894029604945,0.7672567162645421,1.7678326866959524,1.0,0.015384615384615385,1.0
1002,directional_relay,True,1.0,0.30272359787271486,7.1893173577629955e-06,1.0,1.6733838606224085,0.22812832514600395,1.4452555354764045,1.0,0.015384615384615385,0.999755859375
1002,four_channel_crossbar,True,1.0,0.38040261935251474,3.9098408013269085e-06,1.0,2.1913875994416783,0.4495702119006697,1.7418173875410086,1.0,0.015384615384615385,0.99951171875
1003,independent,False,0.11572265625,0.0,1.098760565795848,0.11572265625,0.0,0.0,0.0,0.0,1.0,0.0
1003,distributed,True,1.0,0.4328679997679522,9.600829650426843e-06,1.0,1.023735250523234,0.35350974543255886,0.6702255050906751,1.0,0.015384615384615385,1.0
1003,central_shared,True,1.0,0.31066381569207635,6.76673852061726e-06,1.0,0.6886665988995747,0.14408684158283763,0.544579757316737,1.0,0.015384615384615385,0.999755859375
1003,directional_relay,True,1.0,0.3219760781436093,7.433375968974934e-07,1.0,0.2543688142252878,0.27953273535161105,-0.025163921126323263,0.03125,0.9692307692307692,0.989990234375
1003,four_channel_crossbar,True,1.0,0.29648721253433596,4.04288151479537e-07,1.0,1.7154961949591274,0.1681376158184982,1.5473585791406292,1.0,0.015384615384615385,0.9736328125
1004,independent,False,0.112060546875,0.0,1.0986174306913938,0.112060546875,0.0,0.0,0.0,0.0,1.0,0.0
1004,distributed,True,1.0,0.329376922038185,1.6656659136019702e-05,1.0,1.1542808369106758,0.20341822476024662,0.9508626121504292,1.0,0.015384615384615385,0.99755859375
1004,central_shared,True,1.0,0.4704569795763956,7.482945852194311e-06,1.0,3.65973359271194,0.4533627836747218,3.2063708090372183,1.0,0.015384615384615385,0.97998046875
1004,directional_relay,True,1.0,0.3370239692105225,3.435077797236694e-07,1.0,0.8343181060640504,0.17715073040340298,0.6571673756606474,1.0,0.015384615384615385,0.9990234375
1004,four_channel_crossbar,True,1.0,0.4016354676733855,6.704670549547423e-07,1.0,1.9194244487191148,0.2937883977966307,1.625636050922484,1.0,0.015384615384615385,0.996826171875
