first_primitive,first_rule,then_primitive,then_rule,composable,matching_input_positions
P09,replace_joint_in_bundle,P09,replace_joint_in_bundle,False,
P09,replace_joint_in_bundle,P10,select_state_bundle_at_time,False,
P09,replace_joint_in_bundle,P11,substitute_relation,True,1;2
P10,select_state_bundle_at_time,P01,advance_recurrently,False,
P10,select_state_bundle_at_time,P02,construct_cross_pair_route,False,
P10,select_state_bundle_at_time,P03,continue_to_bilateral_readout,False,
P10,select_state_bundle_at_time,P04,difference_relational_contribution,False,
P10,select_state_bundle_at_time,P05,erase_relation,False,
P10,select_state_bundle_at_time,P06,extract_joint_synergy,True,0
P10,select_state_bundle_at_time,P07,extract_relation,True,1
P10,select_state_bundle_at_time,P08,permute_relation_by_route,False,
P10,select_state_bundle_at_time,P09,replace_joint_in_bundle,True,1
P10,select_state_bundle_at_time,P10,select_state_bundle_at_time,False,
P10,select_state_bundle_at_time,P11,substitute_relation,False,
P11,substitute_relation,P01,advance_recurrently,True,1
P11,substitute_relation,P02,construct_cross_pair_route,False,
P11,substitute_relation,P03,continue_to_bilateral_readout,True,1
P11,substitute_relation,P04,difference_relational_contribution,False,
P11,substitute_relation,P05,erase_relation,True,0
P11,substitute_relation,P06,extract_joint_synergy,False,
P11,substitute_relation,P07,extract_relation,False,
P11,substitute_relation,P08,permute_relation_by_route,False,
P11,substitute_relation,P09,replace_joint_in_bundle,True,2
P11,substitute_relation,P10,select_state_bundle_at_time,False,
P11,substitute_relation,P11,substitute_relation,True,0
