pair_id,family,A_reference_sha256,A_holonomy_sha256,B_reference_sha256,B_holonomy_sha256,phase_a_exact_match,phase_b_exact_match
P1034,0,e71c16a98965cd94041b507493a8dcb0a1381a4c0a69bb75dbb645f13b81574a,e71c16a98965cd94041b507493a8dcb0a1381a4c0a69bb75dbb645f13b81574a,c284c09267b0e6d724bdd10eac2fd9d86e9b2562baa62534a5e817992ff7bb48,c284c09267b0e6d724bdd10eac2fd9d86e9b2562baa62534a5e817992ff7bb48,True,True
P1035,0,0d72bcea420132999faeb1e1f903fc64ecb44532fd52c0e9479ecba83207d7ef,0d72bcea420132999faeb1e1f903fc64ecb44532fd52c0e9479ecba83207d7ef,de621efaabe92708be11a1eb4301f78b5ddcba0063cab57986b261ede7045b16,de621efaabe92708be11a1eb4301f78b5ddcba0063cab57986b261ede7045b16,True,True
P1036,0,e3cc019f86b1a485e4bd7aff6d20a7fb20cba1a4053dbe5460557a0546dd57f7,e3cc019f86b1a485e4bd7aff6d20a7fb20cba1a4053dbe5460557a0546dd57f7,05a8821986adc42a1db2f2fa0561d3561b37b80dcb21694cafe00eeb71cef241,05a8821986adc42a1db2f2fa0561d3561b37b80dcb21694cafe00eeb71cef241,True,True
P1037,0,32f42ebac34632c1f097d9c7e17a256d1753cc338e70c3057f0ad2974bc0f316,32f42ebac34632c1f097d9c7e17a256d1753cc338e70c3057f0ad2974bc0f316,515e35426b4f4eca36d4ac36a431d8fd4f8777603ae94f61ddad28bd9eba181e,515e35426b4f4eca36d4ac36a431d8fd4f8777603ae94f61ddad28bd9eba181e,True,True
P1038,0,8b6b29a11114bbc1a0a7265c037d371e425975af6d82f2e46996a05e467c8c2e,8b6b29a11114bbc1a0a7265c037d371e425975af6d82f2e46996a05e467c8c2e,651d59d2ee49f7a01e1c618d27b5e6e4a84d78865b96928123d4881dd07130e2,651d59d2ee49f7a01e1c618d27b5e6e4a84d78865b96928123d4881dd07130e2,True,True
P1039,0,ad9d509f4340dee3931605dfc3aaf3ebd2a3158f8ecd0e92a623567e6701f98a,ad9d509f4340dee3931605dfc3aaf3ebd2a3158f8ecd0e92a623567e6701f98a,81b59977b868a2fdecefa4437eff3763933d64182c2e21dd986a4bb6bdf084e5,81b59977b868a2fdecefa4437eff3763933d64182c2e21dd986a4bb6bdf084e5,True,True
P1040,0,cc8cacfe5032e00656e23fd71981b47868696828ee58578967fc8d85017f436f,cc8cacfe5032e00656e23fd71981b47868696828ee58578967fc8d85017f436f,0d53f1a8a6ecd778b99afa798ed17c8749cc62d822bf95a1d88378b9f97078ee,0d53f1a8a6ecd778b99afa798ed17c8749cc62d822bf95a1d88378b9f97078ee,True,True
P1041,0,f326c31e57e0fe45101c053d6bdc83f48edc0b408acb29a90370a9456bd832b1,f326c31e57e0fe45101c053d6bdc83f48edc0b408acb29a90370a9456bd832b1,634176d2e554f1eac619e21e6d2b097d166cda897088666fe62660079ffa60ed,634176d2e554f1eac619e21e6d2b097d166cda897088666fe62660079ffa60ed,True,True
P1042,0,1721f1ab1ee6159f12baeb31cfdee10f5eb81a7929f0f3ca6dfd691cfcbd9542,1721f1ab1ee6159f12baeb31cfdee10f5eb81a7929f0f3ca6dfd691cfcbd9542,c0611ac0857a64d465a536a64c700f7f206575b935f3b260c19a441a35ad499b,c0611ac0857a64d465a536a64c700f7f206575b935f3b260c19a441a35ad499b,True,True
P1043,0,24270cf1bbfdc15bb92747e200322369eeb703b120f9a2f0bf911116d99801c9,24270cf1bbfdc15bb92747e200322369eeb703b120f9a2f0bf911116d99801c9,df282d9f2934afb30b17e907140acba60d093a3d0eaac768ce3aaaf53a8ebd6b,df282d9f2934afb30b17e907140acba60d093a3d0eaac768ce3aaaf53a8ebd6b,True,True
