pair_id,family,control,registered_class,joint_generation,history_irreducibility,intervention_sensitivity,pair_specificity,bilateral_feedback,gauge_relative_error,declared_class2
P1000,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1000,0,historyless,0,0.1279298943149911,0.0,0.19626825939350506,0.0,0.13899733374665676,2.657374890515373e-16,False
P1000,0,common_memory,0,0.0,0.0,0.2054980498589664,0.0,0.0,1.3745446121866307e-16,False
P1000,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1000,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,1.7669302312364054e-16,False
P1000,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.20684076653338485,0.0,0.0,1.7669302312364054e-16,False
P1000,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.10418406659989114,0.0,0.0,2.6640902511726215e-16,False
P1000,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.1930592248089817,0.0,0.23022034946288086,1.2056091340485098e-16,False
P1001,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1001,0,historyless,0,0.1279298943149911,0.0,0.17624936910696412,0.0,0.1437269227514545,1.931132670503657e-16,False
P1001,0,common_memory,0,0.0,0.0,0.20885962744136677,0.0,0.0,0.0,False
P1001,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1001,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1001,0,compressed_summary,1,0.1485802444691394,0.15708359687867818,0.2187691080558083,0.0,0.0,1.296314835789448e-16,False
P1001,0,unilateral_return,1,0.1485802444691394,0.15708359687867818,0.11151223867348962,0.0,0.0,1.7669302312364054e-16,False
P1001,0,unrelated_c,1,0.1485802444691394,0.15708359687867818,0.19589124411671022,0.0,0.2092535185660398,0.0,False
P1002,0,no_c,0,0.0,0.0,0.0,0.0,0.0,0.0,False
P1002,0,historyless,0,0.1279298943149911,0.0,0.20086247277136554,0.0,0.1587714769390242,1.368157954702767e-16,False
P1002,0,common_memory,0,0.0,0.0,0.19807695811302684,0.0,0.0,0.0,False
P1002,0,history_only,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
P1002,0,individual_memory,1,0.1485802444691394,0.15708359687867818,0.0,0.0,0.0,0.0,False
