training_seed,architecture,heldout_both_correct,task_competent,transition,component_norm,next_component_norm,transported_component_norm,transport_fraction_of_next,transport_alignment_with_next,random_transport_median,transport_selectivity_over_random,transport_percentile,matched_own_history_transport,transport_selectivity_over_own_history,erase_cross_entropy_increase,random_action_loss_median,action_loss_selectivity_over_random,action_loss_percentile,matched_own_history_action_loss,action_loss_selectivity_over_own_history,erase_probability_response,random_probability_response_median,probability_response_selectivity_over_random,probability_response_percentile,exchange_cross_entropy_increase,erase_bilateral_fraction,exchange_bilateral_fraction,random_bilateral_median,reentry_state_reconstruction_error
2000,independent,0.11767578125,False,4_to_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2000,independent,0.11767578125,False,5_to_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2000,independent,0.11767578125,False,6_to_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2000,distributed,1.0,True,4_to_5,0.3367512839594774,0.4775180212550054,0.30121647127683976,0.6307960283576048,0.6380973224883383,0.2652681503044231,0.03594832097241668,1.0,0.39053647720543927,-0.08932000592859951,0.07447251556951164,0.24789300928887728,-0.17342049371936563,0.0,3.0743636280395856,-2.999891112470074,0.015746332951764894,0.02933131444849997,-0.013584981496735076,0.0,0.18327872447359966,1.0,0.999267578125,0.999755859375,2.498001805406602e-16
2000,distributed,1.0,True,5_to_6,0.4775180212550054,0.6070453591002001,0.46054456791475473,0.7586658245726516,0.6894536042590365,0.34150203462331896,0.11904253329143577,1.0,0.5179794101174944,-0.057434842202739644,0.3969652662582624,0.36995506684812485,0.027010199410137548,0.984375,2.8771506391644444,-2.480185372906182,0.09577658266119037,0.045186003360433845,0.05059057930075652,1.0,0.993662592488642,1.0,1.0,0.999755859375,2.498001805406602e-16
2000,distributed,1.0,True,6_to_7,0.6070453591002001,0.7016470306587616,0.5802939546359933,0.8270454078472584,0.8180346712450366,0.4145570690687015,0.16573688556729183,1.0,0.5811246598871753,-0.0008307052511820068,0.7117320371399674,0.3118218380752075,0.39991019906475983,1.0,2.9406053655612885,-2.2288733284213214,0.16481430356858975,0.04851966984488236,0.1162946337237074,1.0,3.2209449401488968,1.0,1.0,1.0,2.220446049250313e-16
2000,central_shared,1.0,True,4_to_5,0.32684028300061674,0.43005318261500713,0.402009425367272,0.9347900250912909,0.9020173674769556,0.29056468244490663,0.11144474292236539,1.0,0.36923652384849137,0.03277290151878065,1.501953776658202,0.10319107526567407,1.398762701392528,1.0,1.1322699127206945,0.3696838639375075,0.16196256671780027,0.01574544754223447,0.1462171191755658,1.0,3.99401648217659,1.0,0.997802734375,0.9970703125,2.220446049250313e-16
2000,central_shared,1.0,True,5_to_6,0.43005318261500713,0.5770009663940917,0.5175413299974421,0.8969505427898388,0.8883248696794426,0.33180385757280406,0.185737472424638,1.0,0.42621687276236564,0.09132445723507643,1.7773554009508583,0.16851414421219835,1.60884125673866,1.0,1.2520929463764126,0.5252624545744458,0.1858728536838666,0.024761670971378234,0.16111118271248837,1.0,4.467408679075252,1.0,0.9990234375,0.998046875,2.42861286636753e-16
2000,central_shared,1.0,True,6_to_7,0.5770009663940917,0.6938355872621516,0.6495812125937598,0.936217779138401,0.901583803428837,0.40448563480865773,0.24509557778510205,1.0,0.49585528292733894,0.15372592966642085,2.2236792065146735,0.32379047863103094,1.8998887278836425,1.0,1.3378523587802142,0.8858268477344593,0.268226120894163,0.04473945454655587,0.2234866663476071,1.0,6.464359582736086,1.0,0.99951171875,0.999267578125,2.498001805406602e-16
2000,directional_relay,1.0,True,4_to_5,0.3630361865361983,0.5344883769407895,0.4902174776570046,0.917171446202114,0.9412138773546423,0.2678719719677121,0.22234550568929246,1.0,0.3562830362358724,0.1339344414211322,1.1621972144704864,0.2918521834706132,0.8703450309998733,1.0,1.1365558318731075,0.025641382597378914,0.14822176382652288,0.03623273199744305,0.11198903182907984,1.0,5.0818144492338915,1.0,0.99609375,0.9913330078125,2.220446049250313e-16
2000,directional_relay,1.0,True,5_to_6,0.5344883769407895,0.6740610715838611,0.6535174712231882,0.9695226423439629,0.9552774108605133,0.34562643070391885,0.3078910405192693,1.0,0.4109393779090414,0.24257809331414676,2.4300743031385856,0.3935825767954305,2.0364917263431552,1.0,0.7049853905805769,1.7250889125580087,0.3239688839647259,0.04979027743365179,0.2741786065310741,1.0,7.237912351531445,1.0,0.998291015625,0.99609375,2.220446049250313e-16
2000,directional_relay,1.0,True,6_to_7,0.6740610715838611,0.7576162784552578,0.7617856395855854,1.005503262335953,0.9555043629249781,0.4051997762495667,0.3565858633360187,1.0,0.47733990808945426,0.28444573149613117,3.042170233855045,0.32058324090864454,2.7215869929464005,1.0,0.6590793464453756,2.3830908874096695,0.4013504410209436,0.04521946583894443,0.35613097518199915,1.0,9.01078146610214,1.0,0.99951171875,0.9990234375,2.220446049250313e-16
2000,four_channel_crossbar,1.0,True,4_to_5,0.39256896278888254,0.5611187242021043,0.5487838925587614,0.978017429981716,0.9741950806691339,0.29813170483649376,0.2506521877222676,1.0,0.3469841921714806,0.2017997003872808,3.5407585661343917,0.448644132294247,3.0921144338401447,1.0,0.3305892731470627,3.210169292987329,0.309061242766473,0.04227411603345034,0.2667871267330227,1.0,8.699499598384184,1.0,0.99951171875,1.0,2.220446049250313e-16
2000,four_channel_crossbar,1.0,True,5_to_6,0.5611187242021043,0.7110012162562583,0.7104107766527518,0.9991695659725935,0.9766579826784452,0.36766831118918564,0.3427424654635661,1.0,0.3654240114170203,0.34498676523573146,4.561177998305429,0.49110033579573154,4.070077662509698,1.0,0.16730654519685062,4.393871453108579,0.3954343805533098,0.05456141117347397,0.34087296937983586,1.0,9.476837457332156,1.0,1.0,1.0,2.220446049250313e-16
