pair_id,family,K_AB_history_distance,carrier_history_distance,z_C_history_distance,action_history_distance,A_return_distance,B_return_distance,self_erased_action_distance,self_erasure_carrier_preservation,carrier_reset_action_distance,native_archive_reset_action_distance,order_erased_action_distance,current_only_action_distance,direct_carrier_action_distance,no_feedback_A_distance,no_feedback_B_distance,unilateral_A_A_effect,unilateral_A_B_effect,unilateral_B_A_effect,unilateral_B_B_effect,completed_C_exchange_A_effect,completed_C_exchange_B_effect,selective_reset_A_effect,selective_reset_B_effect,gate_bilateral_feedback_removal,gate_carrier_reset,gate_completed_C_exchange,gate_current_input_only,gate_direct_carrier_output,gate_native_archive_reset,gate_order_erasure,gate_selective_C_reset,gate_self_reentry_erasure,gate_unilateral_return_A,gate_unilateral_return_B,all_registered_controls_pass,generic_K_AB_history_distance,generic_carrier_history_distance,generic_z_C_history_distance,generic_action_history_distance,generic_A_return_distance,generic_B_return_distance,generic_self_erased_action_distance,generic_self_erasure_carrier_preservation,generic_carrier_reset_action_distance,generic_native_archive_reset_action_distance,generic_order_erased_action_distance,generic_current_only_action_distance,generic_direct_carrier_action_distance,generic_no_feedback_A_distance,generic_no_feedback_B_distance,generic_unilateral_A_A_effect,generic_unilateral_A_B_effect,generic_unilateral_B_A_effect,generic_unilateral_B_B_effect,generic_completed_C_exchange_A_effect,generic_completed_C_exchange_B_effect,generic_selective_reset_A_effect,generic_selective_reset_B_effect,generic_gate_bilateral_feedback_removal,generic_gate_carrier_reset,generic_gate_completed_C_exchange,generic_gate_current_input_only,generic_gate_direct_carrier_output,generic_gate_native_archive_reset,generic_gate_order_erasure,generic_gate_selective_C_reset,generic_gate_self_reentry_erasure,generic_gate_unilateral_return_A,generic_gate_unilateral_return_B,generic_all_registered_controls_pass
P2000,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17843568804432858,0.19760344685574557,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.2014805517874119,0.0,0.0,0.20931175109851613,0.23800029899503794,0.23661728056657014,0.20459038866709126,0.21027174606883586,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.14872877781536145,0.21357778812974898,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.22030944120328758,0.0,0.0,0.24072136760525928,0.20852786353959188,0.239610947472041,0.19799106469387004,0.23333331267854765,True,True,True,True,True,True,True,True,True,True,True,True
P2001,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19364266642686342,0.19089591371002623,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18371109595503166,0.0,0.0,0.22089677346261632,0.20381658072401482,0.24343564580198884,0.18374904995183944,0.20259177254796035,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.13635405861474922,0.21490263041500932,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.1971088242402817,0.0,0.0,0.22372825007504568,0.2018065910991886,0.23371183511865157,0.17018589762712508,0.21869514021866784,True,True,True,True,True,True,True,True,True,True,True,True
P2002,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.17622970322529405,0.20066023071660177,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19418017813993485,0.0,0.0,0.21611753545233497,0.23446432222455138,0.23100358009946684,0.17808439805397275,0.2114938473932522,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1403875520116931,0.20332629157711252,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.220408597140885,0.0,0.0,0.22111887077133963,0.20503812218089118,0.22351427146397854,0.18278819686271364,0.21837431024782594,True,True,True,True,True,True,True,True,True,True,True,True
P2003,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.1950491175533426,0.2071686165415504,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20546090322876145,0.0,0.0,0.22438442654813243,0.20824693476292935,0.22398243553047215,0.1922568382660159,0.21527488970936398,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1343088539191984,0.21551053656888902,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.20121400059096406,0.0,0.0,0.23992472469647538,0.19963268419135485,0.23290464598362862,0.19768537304749845,0.22553625607241373,True,True,True,True,True,True,True,True,True,True,True,True
P2004,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19637260437276838,0.2039417079701918,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.1719528515240363,0.0,0.0,0.22972936092688345,0.2170255529841052,0.23980632807703503,0.213759857073511,0.21876221330933368,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1419151865857458,0.2069254326423103,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.21251806088652328,0.0,0.0,0.24224913227874506,0.19813345712786287,0.23980251636300173,0.16484479572639313,0.21198945989597937,True,True,True,True,True,True,True,True,True,True,True,True
P2005,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19196555756461392,0.20768714229962046,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.20651300493130398,0.0,0.0,0.2172473561816738,0.2251445076315345,0.2371416675199005,0.20010776994803367,0.2067438452206419,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.16976825058764528,0.21823012978268078,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.19184916658676,0.0,0.0,0.21935340937150255,0.19252992312049302,0.2248450984453957,0.2000577208305068,0.21270110109699097,True,True,True,True,True,True,True,True,True,True,True,True
P2006,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.20632300926228417,0.2014750928822612,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.1907303948258825,0.0,0.0,0.2058344903966619,0.24329109355440903,0.24852126273998587,0.17624357791496287,0.20809460887886685,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.14095779653476262,0.22335970371195518,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.2020033475942296,0.0,0.0,0.23483131992014258,0.20917327142424944,0.23554659124647043,0.1969373760274097,0.22702762937362583,True,True,True,True,True,True,True,True,True,True,True,True
P2007,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.21520880735796438,0.2065521369447281,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19754036175358655,0.0,0.0,0.23293784993488345,0.20046155516119785,0.24484751904307336,0.17802980952513475,0.17606577076877183,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.12073370493406396,0.21781073111861968,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.18736088186865196,0.0,0.0,0.230054797378837,0.20872261065256795,0.22298336631118565,0.19132014924680502,0.20710556833027333,True,True,True,True,True,True,True,True,True,True,True,True
P2008,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.18835069610338948,0.20827285821589256,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.19603232157933514,0.0,0.0,0.2429906124271691,0.21875456703774787,0.2478273972896781,0.16091249316748885,0.20852708708658807,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.14401573210194293,0.23717513392041015,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.20660073564827458,0.0,0.0,0.23500911234299748,0.20991830999576927,0.2333136300937723,0.20226736229066705,0.23295047985837602,True,True,True,True,True,True,True,True,True,True,True,True
P2009,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.19703890336701466,0.1873271216762826,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.18709888329246482,0.0,0.0,0.2236918879916607,0.22514086108481549,0.2551639257258382,0.18152190834246207,0.20971439063534517,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.1292713658980593,0.2177934696309274,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.20660497130623087,0.0,0.0,0.22445549704813286,0.21254408648438886,0.23241692423440602,0.18865581449587726,0.22593884388201413,True,True,True,True,True,True,True,True,True,True,True,True
P2010,0,0.1635009149902916,0.09506368257695154,0.10261464689020157,0.1016642102804916,0.189553357268413,0.2066285602691601,0.0,0.0,0.0,0.0,0.0,0.08312624587322774,0.15409374575215548,0.0,0.0,0.2017172873736911,0.0,0.0,0.22902814812118122,0.2080200025815672,0.2218436481199041,0.1864215822630292,0.21385145124993532,True,True,True,True,True,True,True,True,True,True,True,True,0.1635009149902916,0.07955501540785126,0.07489289467271845,0.0744994243333147,0.11705737116176357,0.22656703157847552,0.0,0.0,0.0,0.0,0.0,0.08173771936968796,0.13886201253127028,0.0,0.0,0.21401495152588157,0.0,0.0,0.22445046397728383,0.19168812777726732,0.22642861272139517,0.2021025397852243,0.2113918477571772,True,True,True,True,True,True,True,True,True,True,True,True
